Z,Symbol,Element,Z/A,I (eV),Density (g/cm3),Molecular Weight (g/mol)
1,H,Hydrogen,0.99212,19.2,8.375E-05,1.008
2,He,Helium,0.49968,41.8,1.663E-04,4.0026
3,Li,Lithium,0.43221,40.0,5.340E-01,6.94
4,Be,Beryllium,0.44384,63.7,1.848E+00,9.0122
5,B,Boron,0.46245,76.0,2.370E+00,10.811
6,"C",Carbon,0.49954,78.0,1.700E+00,12.011
7,N,Nitrogen,0.49976,82.0,1.165E-03,14.007
8,O,Oxygen,0.50002,95.0,1.332E-03,15.999
9,F,Fluorine,0.47372,115.0,1.580E-03,18.998
10,Ne,Neon,0.49555,137.0,8.385E-04,20.180
11,Na,Sodium,0.47847,149.0,9.710E-01,22.990
12,Mg,Magnesium,0.49373,156.0,1.740E+00,24.305
13,Al,Aluminum,0.48181,166.0,2.699E+00,26.982
14,Si,Silicon,0.49848,173.0,2.330E+00,28.085
15,P,Phosphorus,0.48428,173.0,2.200E+00,30.974
16,S,Sulfur,0.49897,180.0,2.000E+00,32.06
17,Cl,Chlorine,0.47951,174.0,2.995E-03,35.453
18,Ar,Argon,0.45059,188.0,1.662E-03,39.948
19,K,Potassium,0.48595,190.0,8.620E-01,39.098
20,Ca,Calcium,0.49903,191.0,1.550E+00,40.078
21,Sc,Scandium,0.46712,216.0,2.989E+00,44.956
22,Ti,Titanium,0.45948,233.0,4.540E+00,47.867
23,V,Vanadium,0.45150,245.0,6.110E+00,50.942
24,Cr,Chromium,0.46157,257.0,7.180E+00,51.996
25,Mn,Manganese,0.45506,272.0,7.440E+00,54.938
26,Fe,Iron,0.46556,286.0,7.874E+00,55.845
27,Co,Cobalt,0.45815,297.0,8.900E+00,58.933
28,Ni,Nickel,0.47708,311.0,8.902E+00,58.693
29,Cu,Copper,0.45636,322.0,8.960E+00,63.546
30,Zn,Zinc,0.45879,330.0,7.133E+00,65.38
31,Ga,Gallium,0.44462,334.0,5.904E+00,69.723
32,Ge,Germanium,0.44071,350.0,5.323E+00,72.63
33,As,Arsenic,0.44046,347.0,5.730E+00,74.922
34,Se,Selenium,0.43060,348.0,4.500E+00,78.971
35,Br,Bromine,0.43803,343.0,7.072E-03,79.904
36,Kr,Krypton,0.42959,352.0,3.478E-03,83.798
37,Rb,Rubidium,0.43291,363.0,1.532E+00,85.468
38,Sr,Strontium,0.43369,366.0,2.540E+00,87.62
39,Y,Yttrium,0.43867,379.0,4.469E+00,88.906
40,Zr,Zirconium,0.43848,393.0,6.506E+00,91.224
41,Nb,Niobium,0.44130,417.0,8.570E+00,92.906
42,Mo,Molybdenum,0.43777,424.0,1.022E+01,95.95
43,Tc,Technetium,0.43919,428.0,1.150E+01,98.0
44,Ru,Ruthenium,0.43534,441.0,1.241E+01,101.07
45,Rh,Rhodium,0.43729,449.0,1.241E+01,102.91
46,Pd,Palladium,0.43225,470.0,1.202E+01,106.42
47,Ag,Silver,0.43572,470.0,1.050E+01,107.87
48,Cd,Cadmium,0.42700,469.0,8.650E+00,112.41
49,In,Indium,0.42676,488.0,7.310E+00,114.82
50,Sn,Tin,0.42120,488.0,7.310E+00,118.71
51,Sb,Antimony,0.41889,487.0,6.691E+00,121.760
52,Te,Tellurium,0.40752,485.0,6.240E+00,127.6
53,I,Iodine,0.41764,491.0,4.930E+00,126.9045
54,Xe,Xenon,0.41130,482.0,5.485E-03,131.29
55,Cs,Cesium,0.41383,488.0,1.873E+00,132.9054519
56,Ba,Barium,0.40779,491.0,3.500E+00,137.33
57,La,Lanthanum,0.41035,501.0,6.154E+00,138.9055
58,Ce,Cerium,0.41395,523.0,6.657E+00,140.116
